Folder,Image,Label,Area,Perimeter,Circularity,Aspect_Ratio,,,,,,,,,,,,,,
3,1,4,15,12,1.309,0.6,,,,,,,,,3,1,4,0.888888,1.875,0.904534
3,1,5,9,8,176.715,1,,,,,,,,,3,1,5,0.296296,2.24999,0.0000774597
3,1,6,9,8,176.715,1,,,,,,,,,3,1,6,0.296296,2.24999,0.0000774597
3,1,7,22,162.426,10.479,0.833333,,,,,,,,,3,1,7,1.72007,1.375,0.771139
3,1,8,21,188.284,0.744391,1,,,,,,,,,3,1,8,2.20599,1.2,0.838549
3,1,9,32,188.284,113.431,0.714286,,,,,,,,,3,1,9,2.69283,1.42222,0.759197
3,1,10,6,6,209.439,1.5,,,,,,,,,3,1,10,0.138889,2.99999,1
3,2,1,9,8,176.715,1,,,,,,,,,3,2,1,0.296296,2.24999,0.0000774597
3,2,2,17,148.284,0.971558,1,,,,,,,,,3,2,2,1.27451,1.41667,0.832993
3,2,4,53,276.569,0.870723,142.857,,,,,,,,,3,2,4,5.87311,1.17778,0.784981
3,2,5,9,8,176.715,1,,,,,,,,,3,2,5,0.296296,2.24999,0.0000774597
3,2,6,28,182.426,105.729,0.714286,,,,,,,,,3,2,6,2.29756,1.4,0.730354
3,3,1,104,420.416,0.739408,115.385,,,,,,,,,3,3,1,16.8837,1.07216,0.906136
3,3,2,17,128.284,129.811,0.8,,,,,,,,,3,3,2,1.07647,1.61905,0.772038
3,3,4,9,8,176.715,1,,,,,,,,,3,3,4,0.296296,2.24999,0.0000774597
3,3,5,9,8,176.715,1,,,,,,,,,3,3,5,0.296296,2.24999,0.0000774597
3,3,6,44,228.284,106.099,1,,,,,,,,,3,3,6,3.93046,1.31343,0.588784
3,4,1,9,8,176.715,1,,,,,,,,,3,4,1,0.296296,2.24999,0.0000774597
3,4,2,59,253.137,115.705,1.125,,,,,,,,,3,4,2,6.05322,1.24211,0.499912
3,4,4,9,8,176.715,1,,,,,,,,,3,4,4,0.296296,2.24999,0.0000774597
3,4,5,12,10,150.796,0.75,,,,,,,,,3,4,5,0.541666,2,0.8
3,4,6,9,8,176.715,1,,,,,,,,,3,4,6,0.296296,2.24999,0.0000774597
3,4,7,35,210.711,0.990615,1,,,,,,,,,3,4,7,3.26275,1.25,0.669387
3,4,8,9,8,176.715,1,,,,,,,,,3,4,8,0.296296,2.24999,0.0000774597
3,4,9,11,941.421,155.968,133.333,,,,,,,,,3,4,9,0.496326,2,0.785416
3,5,1,21,154.142,111.067,1.5,,,,,,,,,3,5,1,1.57725,1.55555,0.853232
3,5,2,61,270.711,104.599,0.888889,,,,,,,,,3,5,2,6.12011,1.22,0.537234
3,5,3,9,8,176.715,1,,,,,,,,,3,5,3,0.296296,2.24999,0.0000774597
3,5,5,27,222.426,0.685805,0.75,,,,,,,,,3,5,5,3.48752,1.10204,0.867377
3,5,6,26,168.284,115.371,0.571429,,,,,,,,,3,5,6,2.26602,1.52941,0.880819
3,5,7,12,10,150.796,133.333,,,,,,,,,3,5,7,0.541666,2,0.8
3,6,1,18,134.142,125.705,1.25,,,,,,,,,3,6,1,1.11478,1.63636,0.729902
3,6,2,12,10,150.796,133.333,,,,,,,,,3,6,2,0.541666,2,0.8
3,6,3,9,8,176.715,1,,,,,,,,,3,6,3,0.296296,2.24999,0.0000774597
3,6,4,64,307.279,0.851772,1,,,,,,,,,3,6,4,6.88379,1.12281,0.693808
3,6,6,21,154.142,111.067,0.666667,,,,,,,,,3,6,6,1.57725,1.55555,0.853232
3,6,7,27,174.142,111.883,0.571429,,,,,,,,,3,6,7,2.33657,1.54286,0.887945
3,6,8,34,194.142,113.357,1,,,,,,,,,3,6,8,2.71259,1.41667,0.435379
3,6,9,14,108.284,15.004,1,,,,,,,,,3,6,9,0.761904,1.75,0.652328
3,6,10,9,8,176.715,1,,,,,,,,,3,6,10,0.296296,2.24999,0.0000774597
4,1,1,91,490.711,0.474898,154.545,,,,,,,,,4,1,1,19.2797,0.870813,0.915523
4,1,2,11,941.421,155.968,133.333,,,,,,,,,4,1,2,0.496326,2,0.785415
4,1,3,60,284.853,0.929223,1,,,,,,,,,4,1,3,6.34685,1.25,0.645527
4,1,4,20,154.142,105.778,233.333,,,,,,,,,4,1,4,1.80012,1.73913,0.959386
4,1,5,35,194.142,116.691,1,,,,,,,,,4,1,5,2.83774,1.42857,0.337673
4,1,6,78,330.711,0.896206,0.666667,,,,,,,,,4,1,6,9.96318,1.2,0.867062
4,1,7,15,114.142,14.468,1,,,,,,,,,4,1,7,0.800217,1.7647,0.449734
4,1,8,67,313.137,0.858649,1,,,,,,,,,4,1,8,8.54643,1.18584,0.86893
4,1,9,45,288.284,0.680425,0.545455,,,,,,,,,4,1,9,6.30667,1.13924,0.91253
4,1,10,12,10,150.796,133.333,,,,,,,,,4,1,10,0.541666,2,0.8
4,1,11,105,406.274,0.799394,107.692,,,,,,,,,4,1,11,15.5362,1.11702,0.88725
4,1,12,26,208.284,0.753131,116.667,,,,,,,,,4,1,12,2.80513,1.18182,0.825441
