Folder,Image,Label,Area,Perimeter,Circularity,Aspect_Ratio,,,,,,,,,,,,,,
4,4,2,9,8,176.715,1,,,,,,,,,4,4,2,0.296296,2.24999,0.0000774597
4,4,3,34,194.142,113.357,1,,,,,,,,,4,4,3,2.71259,1.41667,0.435379
4,4,4,55,264.853,0.985288,0.888889,,,,,,,,,4,4,4,5.52894,1.19565,0.508017
4,4,5,19,134.142,132.688,0.8,,,,,,,,,4,4,5,1.19921,1.65217,0.696279
4,4,6,36,20,113.097,1,,,,,,,,,4,4,6,2.89352,1.44,0.0000332142
4,4,7,31,188.284,109.886,1.4,,,,,,,,,4,4,7,2.52773,1.40909,0.739258
4,4,8,15,12,1.309,0.6,,,,,,,,,4,4,8,0.888888,1.875,0.904534
4,4,9,18,14,115.405,0.5,,,,,,,,,4,4,9,1.34259,1.8,0.944749
4,4,10,30,182.426,113.281,1,,,,,,,,,4,4,10,2.45452,1.39535,0.712255
4,4,11,15,12,1.309,166.667,,,,,,,,,4,4,11,0.888888,1.875,0.904534
4,4,12,12,10,150.796,0.75,,,,,,,,,4,4,12,0.541666,2,0.8
4,4,13,34,196.569,110.576,0.857143,,,,,,,,,4,4,13,2.98992,1.33333,0.63556
4,4,14,30,182.426,113.281,1,,,,,,,,,4,4,14,2.49905,1.46341,0.635545
4,4,15,16,12,139.626,1,,,,,,,,,4,4,15,0.843749,1.77778,0.0000538587
4,4,16,15,12,1.309,166.667,,,,,,,,,4,4,16,0.888888,1.875,0.904534
4,4,17,15,12,1.309,0.6,,,,,,,,,4,4,17,0.888888,1.875,0.904534
4,4,18,35,216.569,0.93775,0.75,,,,,,,,,4,4,18,3.57434,1.32075,0.858452
4,4,19,18,128.284,137.447,0.8,,,,,,,,,4,4,19,1.1459,1.63636,0.672944
4,4,20,15,12,1.309,166.667,,,,,,,,,4,4,20,0.888888,1.875,0.904534
4,4,21,48,316.569,0.601888,0.727273,,,,,,,,,4,4,21,6.37153,0.96,0.73209
4,4,22,88,378.995,0.769885,0.916667,,,,,,,,,4,4,22,11.9384,1.12102,0.879434
4,4,23,95,392.132,0.77637,0.857143,,,,,,,,,4,4,23,14.8741,1.13095,0.917855
4,4,24,9,8,176.715,1,,,,,,,,,4,4,24,0.296296,2.24999,0.0000774597
4,4,25,18,14,115.405,0.5,,,,,,,,,4,4,25,1.34259,1.8,0.944749
4,4,26,53,298.995,0.745003,0.727273,,,,,,,,,4,4,26,5.8008,1.0495,0.732325
4,4,27,12,10,150.796,133.333,,,,,,,,,4,4,27,0.541666,2,0.8
4,4,28,15,12,1.309,166.667,,,,,,,,,4,4,28,0.888888,1.875,0.904534
4,4,29,12,10,150.796,0.75,,,,,,,,,4,4,29,0.541666,2,0.8
4,4,30,18,18,0.698132,4.5,,,,,,,,,4,4,30,2.40741,2.25,1
4,4,31,6,6,209.439,1.5,,,,,,,,,4,4,31,0.138889,2.99999,1
4,4,32,6,6,209.439,1.5,,,,,,,,,4,4,32,0.138889,2.99999,1
4,5,1,15,12,1.309,166.667,,,,,,,,,4,5,1,0.888888,1.875,0.904534
4,5,2,9,8,176.715,1,,,,,,,,,4,5,2,0.296296,2.24999,0.0000774597
4,5,3,15,12,1.309,0.6,,,,,,,,,4,5,3,0.888888,1.875,0.904534
4,5,4,12,10,150.796,0.75,,,,,,,,,4,5,4,0.541666,2,0.8
4,5,5,20,168.284,0.887468,0.833333,,,,,,,,,4,5,5,1.71818,1.33333,0.840635
4,5,6,49,24,106.901,1,,,,,,,,,4,5,6,4.40816,1.36111,0.0000278231
4,5,7,42,22,109.047,116.667,,,,,,,,,4,5,7,3.63095,1.4,0.583643
4,5,8,123,512.132,0.58932,166.667,,,,,,,,,4,5,8,28.8747,0.960937,0.940322
4,5,9,18,134.142,125.705,1.25,,,,,,,,,4,5,9,1.11478,1.63636,0.729903
4,5,10,25,168.284,110.934,1.75,,,,,,,,,4,5,10,2.13417,1.51515,0.88258
4,5,11,19,148.284,108.586,1.5,,,,,,,,,4,5,11,1.45893,1.52,0.882691
4,5,12,22,148.284,125.731,0.666667,,,,,,,,,4,5,12,1.6471,1.57143,0.814365
4,5,13,35,210.711,0.990615,1,,,,,,,,,4,5,13,3.401,1.22807,0.714273
4,5,14,15,12,1.309,0.6,,,,,,,,,4,5,14,0.888888,1.875,0.904534
4,5,15,20,168.284,0.887468,1.2,,,,,,,,,4,5,15,1.71818,1.33333,0.840635
4,5,16,26,168.284,115.371,0.833333,,,,,,,,,4,5,16,1.98844,1.44444,0.675207
4,5,17,57,282.426,0.897995,142.857,,,,,,,,,4,5,17,5.87184,1.2,0.762139
4,5,18,15,12,1.309,0.6,,,,,,,,,4,5,18,0.888888,1.875,0.904534
4,5,19,33,190.711,114.018,116.667,,,,,,,,,4,5,19,2.84745,1.34694,0.666484
4,5,20,12,10,150.796,133.333,,,,,,,,,4,5,20,0.541666,2,0.8
4,5,21,35,230.711,0.826309,114.286,,,,,,,,,4,5,21,3.69183,1.12903,0.762991
4,5,22,9,8,176.715,1,,,,,,,,,4,5,22,0.296296,2.24999,0.0000774597
4,5,23,12,10,150.796,133.333,,,,,,,,,4,5,23,0.541666,2,0.8
4,5,24,9,8,176.715,1,,,,,,,,,4,5,24,0.296296,2.24999,0.0000774597
4,1,1,91,490.711,0.474898,154.545,,,,,,,,,5,1,1,0.3125,2.66666,1
4,1,2,11,941.421,155.968,133.333,,,,,,,,,5,1,2,1.2592,1.78947,0.936874
4,1,3,60,284.853,0.929223,1,,,,,,,,,5,1,3,0.138889,2.99999,1
4,1,4,20,154.142,105.778,233.333,,,,,,,,,5,1,4,2.1174,1.31707,0.448375
4,1,5,35,194.142,116.691,1,,,,,,,,,5,1,5,10.6241,1,0.891883
4,1,6,78,330.711,0.896206,0.666667,,,,,,,,,5,1,6,7.26716,1.36508,0.974861
4,1,7,15,114.142,14.468,1,,,,,,,,,5,1,7,1.34259,1.8,0.944749
4,1,8,67,313.137,0.858649,1,,,,,,,,,5,1,8,0.888888,1.875,0.904534
4,1,9,45,288.284,0.680425,0.545455,,,,,,,,,5,1,9,7.02532,1.08475,0.762645
4,1,10,12,10,150.796,133.333,,,,,,,,,5,1,10,0.296296,2.24999,0.0000774597
4,1,11,105,406.274,0.799394,107.692,,,,,,,,,5,1,11,0.541666,2,0.8
4,1,12,26,208.284,0.753131,116.667,,,,,,,,,5,1,12,0.296296,2.24999,0.0000774597
4,1,13,9,8,176.715,1,,,,,,,,,5,1,13,1.6471,1.57143,0.814365
4,1,14,165,653.553,0.485436,1,,,,,,,,,5,1,14,9.80264,0.878049,0.616484
4,1,15,9,8,176.715,1,,,,,,,,,5,1,15,2.89352,1.44,0.0000332142
4,1,16,15,12,1.309,0.6,,,,,,,,,5,1,16,0.541666,2,0.8
4,1,17,15,12,1.309,166.667,,,,,,,,,5,1,17,47.628,0.786885,0.773774
4,1,18,32,182.426,120.833,1,,,,,,,,,5,1,18,0.888888,1.875,0.904534
4,1,19,12,10,150.796,133.333,,,,,,,,,5,1,19,2.27778,1.5,0.634099
4,1,20,52,236.569,116.761,0.875,,,,,,,,,5,1,20,4.21182,1.25,0.521438
4,1,21,117,440.416,0.758,0.933333,,,,,,,,,5,1,21,2.89352,1.44,0.0000332142
4,1,22,24,202.426,0.736015,116.667,,,,,,,,,5,1,22,2.92257,1.25,0.689064
4,1,23,38,202.426,116.536,0.857143,,,,,,,,,5,1,23,2.08951,1.5,0.886753
4,1,24,9,8,176.715,1,,,,,,,,,5,1,24,2.83774,1.42857,0.337673
4,1,25,12,10,150.796,133.333,,,,,,,,,5,1,25,4.03628,1.33333,0.757632
4,1,26,9,8,176.715,1,,,,,,,,,5,1,26,4.71535,1.10811,0.698196
4,1,27,9,8,176.715,1,,,,,,,,,5,1,27,0.296296,2.24999,0.0000774597
4,1,28,28,188.284,0.992521,2,,,,,,,,,5,1,28,0.296296,2.24999,0.0000774597
4,1,29,24,174.142,0.99452,0.571429,,,,,,,,,5,1,29,5.87884,1.14634,0.866833
4,1,30,9,8,176.715,1,,,,,,,,,5,1,30,0.541666,2,0.8
4,1,31,9,8,176.715,1,,,,,,,,,5,1,31,7.44642,1.04202,0.75919
4,1,32,9,8,176.715,1,,,,,,,,,5,1,32,2.22227,1.48718,0.63289
4,1,33,25,168.284,110.934,1.75,,,,,,,,,5,1,33,113.269,0.727003,0.977761
4,1,34,18,14,115.405,2,,,,,,,,,5,1,34,4.64172,1.13158,0.694009
4,1,35,169,712.132,0.41877,208.333,,,,,,,,,5,1,35,5.26013,1.14634,0.738375
4,1,36,23,154.142,121.645,1.5,,,,,,,,,5,1,36,0.296296,2.24999,0.0000774597
4,1,37,12,10,150.796,133.333,,,,,,,,,5,1,37,0.888888,1.875,0.904534
4,1,38,12,10,150.796,0.75,,,,,,,,,5,1,38,6.04552,1.29032,0.687998
4,1,39,32,208.284,0.92693,116.667,,,,,,,,,5,1,39,6.6115,1.24,0.78971
4,1,40,26,162.426,123.843,1.2,,,,,,,,,5,1,40,0.296296,2.24999,0.0000774597
4,1,41,12,10,150.796,133.333,,,,,,,,,5,1,41,14.4569,1.00565,0.875773
4,1,42,34,208.284,0.984863,0.857143,,,,,,,,,5,1,42,0.296296,2.24999,0.0000774597
4,1,43,99,41.799,0.712055,0.6875,,,,,,,,,5,1,43,3.24708,1.16981,0.80942
4,1,44,15,12,1.309,0.6,,,,,,,,,5,1,44,7.22066,1.28846,0.768801
4,1,45,12,10,150.796,0.75,,,,,,,,,5,1,45,3.85734,1.35484,0.611433
4,1,46,33,196.569,107.324,0.625,,,,,,,,,5,1,46,13.2051,0.929577,0.923674
4,1,47,15,12,1.309,0.6,,,,,,,,,5,1,47,4.18679,1.24324,0.526437
4,1,48,39,242.426,0.833901,0.875,,,,,,,,,5,1,48,2.17824,1.5,0.91013
4,1,49,9,8,176.715,1,,,,,,,,,5,1,49,0.541666,2,0.8
4,1,50,43,222.426,109.221,133.333,,,,,,,,,5,1,50,0.296296,2.24999,0.0000774597
4,1,51,15,12,1.309,0.6,,,,,,,,,5,1,51,3.52734,1.40741,0.836849
4,1,52,18,14,115.405,2,,,,,,,,,5,1,52,0.541666,2,0.8
4,1,53,79,347.279,0.823151,1,,,,,,,,,5,1,53,4.11419,1.22857,0.513596
4,1,54,28,168.284,124.246,0.833333,,,,,,,,,5,1,54,2.90867,1.44681,0.772059
4,1,55,9,8,176.715,1,,,,,,,,,5,1,55,3.17187,1.52381,0.927961
4,1,56,48,322.426,0.580216,111.111,,,,,,,,,5,1,56,21.3181,1.13725,0.953824
4,1,57,9,8,176.715,1,,,,,,,,,5,1,57,0.541666,2,0.8
4,1,58,63,284.853,0.975684,0.8,,,,,,,,,5,1,58,28.8365,0.953488,0.952263
4,1,59,15,12,1.309,166.667,,,,,,,,,5,1,59,3.52734,1.40741,0.836849
4,1,60,9,8,176.715,1,,,,,,,,,5,1,60,5.92677,1.28889,0.729953
4,1,61,59,342.426,0.632306,0.666667,,,,,,,,,5,1,61,0.296296,2.24999,0.0000774597
4,1,62,151,585.269,0.553956,123.529,,,,,,,,,5,1,62,2.57639,1.71428,0.975563
4,1,63,36,20,113.097,1,,,,,,,,,5,1,63,1.11478,1.63636,0.729903
4,1,64,40,236.569,0.898164,1.5,,,,,,,,,5,1,64,1.90476,1.75,0.964486
4,1,65,29,174.142,120.171,0.833333,,,,,,,,,5,1,65,0.296296,2.24999,0.0000774597
4,1,66,15,12,1.309,0.6,,,,,,,,,5,1,66,3.64488,1.42857,0.950615
4,1,67,22,148.284,125.731,1.5,,,,,,,,,5,1,67,1.57725,1.55555,0.853232
4,1,68,32,202.426,0.981354,0.857143,,,,,,,,,5,1,68,1.34259,1.8,0.944749
4,1,69,32,202.426,0.981354,116.667,,,,,,,,,5,1,69,0.541666,2,0.8
4,1,70,37,228.284,0.892195,1,,,,,,,,,5,1,70,0.138889,2.99999,1
4,1,71,12,10,150.796,133.333,,,,,,,,,5,1,72,23.6745,1.03226,0.957262
4,1,72,39,216.569,104.492,133.333,,,,,,,,,5,1,73,0.541666,2,0.8
4,1,73,29,188.284,102.797,1,,,,,,,,,5,1,74,0.296296,2.24999,0.0000774597
4,1,74,60,329.706,0.693599,0.833333,,,,,,,,,5,1,75,0.296296,2.24999,0.0000774597
4,1,75,8,8,15.708,0.5,,,,,,,,,5,1,76,0.541666,2,0.8
4,1,76,75,330.711,0.861737,185.714,,,,,,,,,5,1,77,5.11574,1.15909,0.726423
4,1,77,18,134.142,125.705,0.8,,,,,,,,,5,1,78,12.0501,1.06509,0.859292
4,1,78,78,387.279,0.653516,0.714286,,,,,,,,,5,1,79,0.888888,1.875,0.904534
4,1,79,110,455.563,0.666047,0.647059,,,,,,,,,5,1,80,0.138889,2.99999,1
4,1,80,34,194.142,113.357,0.714286,,,,,,,,,6,1,1,1.25,1.66667,0.701269
4,1,81,29,188.284,102.797,1.4,,,,,,,,,6,1,2,2.27778,1.5,0.634099
4,1,82,15,12,1.309,166.667,,,,,,,,,6,1,3,6.74201,1.20408,0.823889
4,1,83,20,14,128.228,0.8,,,,,,,,,6,1,4,0.296296,2.24999,0.0000774597
4,1,84,9,8,176.715,1,,,,,,,,,6,1,5,4.85515,1.225,0.722826
4,1,85,39,250.711,0.779702,0.777778,,,,,,,,,6,1,6,1.34259,1.8,0.944749
4,1,86,27,182.426,101.953,1,,,,,,,,,6,1,7,2.58095,1.38095,0.813471
4,1,87,58,282.426,0.91375,0.545455,,,,,,,,,6,1,8,0.296296,2.24999,0.0000774597
4,1,88,48,244.853,10.061,1,,,,,,,,,6,1,9,2.66792,1.39535,0.828809
4,1,89,26,176.569,104.799,1,,,,,,,,,6,1,10,0.296296,2.24999,0.0000774597
4,1,90,33,194.142,110.023,0.714286,,,,,,,,,6,1,11,1.34259,1.8,0.944749
4,1,91,33,242.426,0.705609,0.875,,,,,,,,,6,1,12,0.541666,2,0.8
4,1,92,52,276.569,0.854295,1.125,,,,,,,,,6,1,13,0.296296,2.24999,0.0000774597
4,1,93,12,10,150.796,0.75,,,,,,,,,6,1,14,1.11478,1.63636,0.729903
4,1,94,6,6,209.439,0.666667,,,,,,,,,6,1,15,0.888888,1.875,0.904534
4,1,95,40,230.711,0.944353,0.666667,,,,,,,,,6,1,16,0.296296,2.24999,0.0000774597
4,1,96,12,10,150.796,0.75,,,,,,,,,6,1,17,0.800217,1.7647,0.449734
4,1,97,9,8,176.715,1,,,,,,,,,6,1,18,1.70923,1.58621,0.825816
4,1,98,19,134.142,132.688,1.25,,,,,,,,,6,1,19,0.541666,2,0.8
4,1,99,9,8,176.715,1,,,,,,,,,6,1,20,5.09082,1.08889,0.745647
4,1,100,24,174.142,0.99452,0.833333,,,,,,,,,6,1,21,0.296296,2.24999,0.0000774597
4,1,101,18,134.142,125.705,0.8,,,,,,,,,6,1,22,0.296296,2.24999,0.0000774597
4,1,102,15,12,1.309,166.667,,,,,,,,,6,1,23,0.541666,2,0.8
4,1,103,49,248.284,0.998867,114.286,,,,,,,,,6,1,24,0.541666,2,0.8
4,1,104,9,8,176.715,1,,,,,,,,,6,1,25,1.34259,1.8,0.944749
4,1,105,6,6,209.439,0.666667,,,,,,,,,6,1,26,4.55913,1.44,0.956775
4,1,106,54,276.569,0.887152,0.888889,,,,,,,,,6,1,27,2.46398,1.45,0.726788
4,1,107,6,6,209.439,1.5,,,,,,,,,6,1,28,6.39583,1.24444,0.869593
4,1,108,6,6,209.439,1.5,,,,,,,,,6,1,29,0.541666,2,0.8
4,1,109,6,6,209.439,1.5,,,,,,,,,6,1,30,0.541666,2,0.8
4,2,1,12,10,150.796,133.333,,,,,,,,,6,1,31,0.541666,2,0.8
4,2,2,6,6,209.439,1.5,,,,,,,,,6,1,32,0.541666,2,0.8
4,2,3,12,10,150.796,133.333,,,,,,,,,6,1,33,0.296296,2.24999,0.0000774597
4,2,4,29,208.284,0.84003,116.667,,,,,,,,,6,1,34,2.26602,1.52941,0.880819
4,2,5,9,8,176.715,1,,,,,,,,,6,1,35,0.296296,2.24999,0.0000774597
4,2,6,31,176.569,124.952,1,,,,,,,,,6,1,36,0.296296,2.24999,0.0000774597
4,2,7,21,16,103.084,0.428571,,,,,,,,,6,1,37,0.296296,2.24999,0.0000774597
4,2,8,28,18,108.598,1.75,,,,,,,,,6,1,38,2.35067,1.34884,0.543019
4,2,9,19,134.142,132.688,1.25,,,,,,,,,6,1,39,0.541666,2,0.8
4,2,10,40,224.853,0.994199,114.286,,,,,,,,,6,1,40,1.34259,1.8,0.944749
4,2,11,9,8,176.715,1,,,,,,,,,6,1,41,1.53333,1.53846,0.8608
4,2,12,21,16,103.084,0.428571,,,,,,,,,6,1,42,1.90476,1.75,0.964486
4,2,13,12,10,150.796,0.75,,,,,,,,,6,1,43,3.11746,1.4,0.625934
4,2,14,41,248.284,0.835786,0.875,,,,,,,,,6,1,44,0.296296,2.24999,0.0000774597
4,2,15,9,8,176.715,1,,,,,,,,,6,1,45,0.296296,2.24999,0.0000774597
4,2,16,12,10,150.796,133.333,,,,,,,,,6,1,46,3.93427,1.33333,0.732192
4,2,17,20,14,128.228,1.25,,,,,,,,,6,1,47,0.800217,1.7647,0.449734
4,2,18,30,18,116.355,1.2,,,,,,,,,6,1,48,24.2046,0.821429,0.60754
4,2,19,73,367.279,0.680049,155.556,,,,,,,,,6,1,49,0.800217,1.7647,0.449734
4,2,20,16,12,139.626,1,,,,,,,,,6,1,50,0.138889,2.99999,1
4,2,21,30,222.426,0.762006,1,,,,,,,,,6,1,51,0.138889,2.99999,1
4,2,22,15,114.142,14.468,1,,,,,,,,,6,2,1,4.07893,1.47826,0.949473
4,2,23,12,10,150.796,133.333,,,,,,,,,6,2,2,0.138889,2.99999,1
4,2,24,9,8,176.715,1,,,,,,,,,6,2,3,0.296296,2.24999,0.0000774597
4,2,25,9,8,176.715,1,,,,,,,,,6,2,4,1.1459,1.63636,0.672944
4,2,26,29,188.284,102.797,1.4,,,,,,,,,6,2,5,0.296296,2.24999,0.0000774597
4,2,27,20,14,128.228,1.25,,,,,,,,,6,2,6,1.60064,1.53333,0.0591316
4,2,28,15,12,1.309,166.667,,,,,,,,,6,2,7,1.90476,1.75,0.964486
4,2,29,15,12,1.309,166.667,,,,,,,,,6,2,8,1.34259,1.8,0.944749
4,2,30,15,12,1.309,166.667,,,,,,,,,6,2,9,6.97485,1.00917,0.778317
4,2,31,8,8,15.708,0.5,,,,,,,,,6,2,10,1.25,1.66667,0.701269
4,2,32,18,128.284,137.447,0.8,,,,,,,,,6,2,11,0.296296,2.24999,0.0000774597
4,2,33,66,327.279,0.774314,0.75,,,,,,,,,6,2,12,2.27778,1.5,0.634099
4,2,34,26,162.426,123.843,1.2,,,,,,,,,6,2,13,2.33657,1.54286,0.887945
4,2,35,9,8,176.715,1,,,,,,,,,6,2,14,1.52958,1.57143,0.571313
4,2,36,20,14,128.228,1.25,,,,,,,,,6,2,15,3.14932,1.26316,0.434248
4,2,37,12,10,150.796,133.333,,,,,,,,,6,2,16,0.888888,1.875,0.904534
4,2,38,40,248.284,0.815401,114.286,,,,,,,,,6,2,17,2.08951,1.5,0.886753
4,2,39,9,8,176.715,1,,,,,,,,,6,2,18,6.12133,1.11111,0.789605
4,2,40,23,168.284,102.059,0.571429,,,,,,,,,6,2,19,0.296296,2.24999,0.0000774597
4,2,41,23,154.142,121.645,1.5,,,,,,,,,6,2,20,3.27568,1.30909,0.667846
4,2,42,47,248.284,0.958097,0.875,,,,,,,,,6,2,21,1.70923,1.58621,0.825816
4,2,43,30,182.426,113.281,1.4,,,,,,,,,6,2,22,2.71218,1.21739,0.803154
4,2,44,76,341.421,0.819298,1,,,,,,,,,6,2,23,0.800217,1.7647,0.449734
4,2,45,18,128.284,137.447,0.8,,,,,,,,,6,2,24,2.04527,1.45946,0.654123
4,2,46,26,168.284,115.371,0.571429,,,,,,,,,6,2,25,0.296296,2.24999,0.0000774597
4,3,1,16,128.284,122.175,2,,,,,,,,,6,2,26,0.296296,2.24999,0.0000774597
4,3,2,21,16,103.084,0.428571,,,,,,,,,6,2,27,4.07511,1.3125,0.77955
4,3,3,19,134.142,132.688,0.8,,,,,,,,,6,2,28,0.541666,2,0.8
4,3,4,9,8,176.715,1,,,,,,,,,6,2,29,2.77112,1.26087,0.778515
4,3,5,21,188.284,0.744391,1,,,,,,,,,6,2,30,5.96814,1.23913,0.748362
4,3,6,29,182.426,109.505,1,,,,,,,,,6,2,31,9.80752,1.14516,0.898941
4,3,7,33,222.426,0.838207,1,,,,,,,,,6,2,32,3.17187,1.52381,0.927961
4,3,8,40,282.426,0.630172,1.125,,,,,,,,,6,2,33,0.296296,2.24999,0.0000774597
4,3,9,72,330.711,0.827267,122.222,,,,,,,,,6,2,34,0.888888,1.875,0.904534
4,3,10,15,114.142,14.468,1,,,,,,,,,6,2,35,0.541666,2,0.8
4,3,11,12,10,150.796,0.75,,,,,,,,,6,2,36,2.66932,1.14286,0.829319
4,3,12,18,134.142,125.705,1.25,,,,,,,,,6,2,37,2.79778,1.30612,0.764414
4,3,13,23,154.142,121.645,0.666667,,,,,,,,,6,2,38,0.296296,2.24999,0.0000774597
4,3,14,28,222.426,0.711206,1,,,,,,,,,6,2,39,2.8045,1.52631,0.916984
4,3,15,9,8,176.715,1,,,,,,,,,6,2,40,1.34259,1.8,0.944749
4,3,16,32,216.569,0.857372,0.75,,,,,,,,,6,2,41,2.28007,1.31579,0.845916
4,3,17,72,327.279,0.844706,0.909091,,,,,,,,,6,2,42,6.78658,1.45161,0.97201
4,3,18,28,182.426,105.729,1,,,,,,,,,6,3,1,1.75463,1.28571,0.867299
4,3,19,19,134.142,132.688,1.25,,,,,,,,,6,3,2,0.296296,2.24999,0.0000774597
4,3,20,48,244.853,10.061,1,,,,,,,,,6,3,3,1.90476,1.75,0.964486
4,3,21,9,8,176.715,1,,,,,,,,,6,3,4,4.31326,1.28125,0.835852
4,3,22,33,188.284,116.976,1.4,,,,,,,,,6,3,5,0.296296,2.24999,0.0000774597
4,3,23,9,8,176.715,1,,,,,,,,,6,3,6,0.296296,2.24999,0.0000774597
4,3,24,15,114.142,14.468,1,,,,,,,,,6,3,7,0.296296,2.24999,0.0000774597
4,3,25,23,154.142,121.645,1.5,,,,,,,,,6,3,8,0.541666,2,0.8
4,3,26,17,128.284,129.811,0.8,,,,,,,,,6,3,9,0.296296,2.24999,0.0000774597
4,3,27,23,168.284,102.059,1.75,,,,,,,,,6,3,10,0.541666,2,0.8
4,3,28,33,242.426,0.705609,114.286,,,,,,,,,6,3,11,4.65833,1.3913,0.967086
4,3,29,63,295.563,0.906252,1,,,,,,,,,6,3,12,0.296296,2.24999,0.0000774597
4,3,30,62,307.279,0.825154,1,,,,,,,,,6,3,13,0.296296,2.24999,0.0000774597
4,3,31,12,10,150.796,133.333,,,,,,,,,6,3,14,0.296296,2.24999,0.0000774597
4,3,32,12,10,150.796,133.333,,,,,,,,,6,3,15,0.541666,2,0.8
4,4,1,15,12,1.309,166.667,,,,,,,,,6,3,16,0.541666,2,0.8
4,4,2,9,8,176.715,1,,,,,,,,,6,3,17,0.296296,2.24999,0.0000774597
4,4,3,34,194.142,113.357,1,,,,,,,,,6,3,18,1.78968,1.35484,0.835905
4,4,4,55,264.853,0.985288,0.888889,,,,,,,,,6,3,19,0.888888,1.875,0.904534
4,4,5,19,134.142,132.688,0.8,,,,,,,,,6,3,20,5.9269,1.16667,0.691568
4,4,6,36,20,113.097,1,,,,,,,,,6,3,21,4.99962,1.22353,0.505264
4,4,7,31,188.284,109.886,1.4,,,,,,,,,6,3,22,0.541666,2,0.8
4,4,8,15,12,1.309,0.6,,,,,,,,,6,3,23,0.888888,1.875,0.904534
4,4,9,18,14,115.405,0.5,,,,,,,,,6,3,24,8.60266,1.09231,0.839136
4,4,10,30,182.426,113.281,1,,,,,,,,,6,3,25,4.18219,1.25,0.659034
4,4,11,15,12,1.309,166.667,,,,,,,,,6,3,26,8.236,1.0625,0.771134
4,4,12,12,10,150.796,0.75,,,,,,,,,6,3,27,0.800217,1.7647,0.449734
4,4,13,34,196.569,110.576,0.857143,,,,,,,,,6,3,28,8.15076,0.991596,0.856394
4,4,14,30,182.426,113.281,1,,,,,,,,,6,3,29,82.8988,0.787004,0.965209
4,4,15,16,12,139.626,1,,,,,,,,,6,3,30,0.296296,2.24999,0.0000774597
4,4,16,15,12,1.309,166.667,,,,,,,,,6,3,31,0.888888,1.875,0.904534
4,4,17,15,12,1.309,0.6,,,,,,,,,6,3,32,0.138889,2.99999,1
4,4,18,35,216.569,0.93775,0.75,,,,,,,,,6,3,33,0.888888,1.875,0.904534
4,4,19,18,128.284,137.447,0.8,,,,,,,,,6,3,34,0.296296,2.24999,0.0000774597
4,4,20,15,12,1.309,166.667,,,,,,,,,6,3,35,1.34259,1.8,0.944749
4,4,21,48,316.569,0.601888,0.727273,,,,,,,,,6,3,36,1.25,1.66667,0.701269
4,4,22,88,378.995,0.769885,0.916667,,,,,,,,,6,3,37,4.03492,1.22857,0.554396
4,4,23,95,392.132,0.77637,0.857143,,,,,,,,,6,3,38,21.1934,1.09259,0.947535
4,4,24,9,8,176.715,1,,,,,,,,,6,3,39,4.57192,1.13158,0.674837
4,4,25,18,14,115.405,0.5,,,,,,,,,6,3,40,10.4096,1.03571,0.757711
4,4,26,53,298.995,0.745003,0.727273,,,,,,,,,6,3,41,0.296296,2.24999,0.0000774597
4,4,27,12,10,150.796,133.333,,,,,,,,,6,3,42,0.541666,2,0.8
4,4,28,15,12,1.309,166.667,,,,,,,,,6,3,43,0.541666,2,0.8
4,4,29,12,10,150.796,0.75,,,,,,,,,6,3,44,1.70923,1.58621,0.825816
4,4,30,18,18,0.698132,4.5,,,,,,,,,6,3,45,0.296296,2.24999,0.0000774597
4,4,31,6,6,209.439,1.5,,,,,,,,,6,3,46,1.19921,1.65217,0.696279
4,4,32,6,6,209.439,1.5,,,,,,,,,6,3,47,0.296296,2.24999,0.0000774597
4,5,1,15,12,1.309,166.667,,,,,,,,,6,4,1,0.541666,2,0.8
4,5,2,9,8,176.715,1,,,,,,,,,6,4,2,0.541666,2,0.8
4,5,3,15,12,1.309,0.6,,,,,,,,,6,4,3,3.63095,1.4,0.583643
4,5,4,12,10,150.796,0.75,,,,,,,,,6,4,4,0.888888,1.875,0.904534
4,5,5,20,168.284,0.887468,0.833333,,,,,,,,,6,4,5,0.800217,1.7647,0.449734
4,5,6,49,24,106.901,1,,,,,,,,,6,4,6,0.888888,1.875,0.904534
4,5,7,42,22,109.047,116.667,,,,,,,,,6,4,7,0.296296,2.24999,0.0000774597
4,5,8,123,512.132,0.58932,166.667,,,,,,,,,6,4,8,0.541666,2,0.8
4,5,9,18,134.142,125.705,1.25,,,,,,,,,6,4,9,0.541666,2,0.8
4,5,10,25,168.284,110.934,1.75,,,,,,,,,6,4,10,0.296296,2.24999,0.0000774597
4,5,11,19,148.284,108.586,1.5,,,,,,,,,6,4,11,1.34259,1.8,0.944749
4,5,12,22,148.284,125.731,0.666667,,,,,,,,,6,4,12,0.541666,2,0.8
4,5,13,35,210.711,0.990615,1,,,,,,,,,6,4,13,0.888888,1.875,0.904534
4,5,14,15,12,1.309,0.6,,,,,,,,,6,4,14,0.296296,2.24999,0.0000774597
4,5,15,20,168.284,0.887468,1.2,,,,,,,,,6,4,15,0.888888,1.875,0.904534
4,5,16,26,168.284,115.371,0.833333,,,,,,,,,6,4,16,0.888888,1.875,0.904534
4,5,17,57,282.426,0.897995,142.857,,,,,,,,,6,4,17,1.6471,1.57143,0.814365
4,5,18,15,12,1.309,0.6,,,,,,,,,6,4,18,3.5778,1.18182,0.494995
4,5,19,33,190.711,114.018,116.667,,,,,,,,,6,4,19,0.888888,1.875,0.904534
