0,1,1,24,208.284,0.695197,116.667
0,2,2,27,188.284,0.957074,0.714286
0,3,7,12,10,150.796,133.333
0,4,1,9,8,176.715,1
0,4,2,22,154.142,116.356,0.666667
0,4,3,27,174.142,111.883,0.571429
0,5,1,12,10,150.796,133.333
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0,5,5,9,8,176.715,1
0,5,6,42,250.711,0.839679,128.571
0,6,1,15,12,1.309,166.667
0,6,2,9,8,176.715,1
0,6,3,9,8,176.715,1
0,6,4,45,222.426,114.301,1
0,7,1,25,176.569,100.768,1
0,7,2,40,214.142,109.614,0.857143
0,7,3,44,228.284,106.099,1
,,,,,,
,,,,,,
1,1,3,6,6,209.439,1.5
1,2,1,9,8,176.715,1
,,,,,,
,,,,,,
1,2,4,45,234.142,103.149,1
1,2,5,6,6,209.439,1.5
1,3,1,12,10,150.796,133.333
1,3,2,9,8,176.715,1
1,3,3,45,236.569,101.044,1.5
,,,,,,
,,,,,,
,,,,,,
1,3,7,28,182.426,105.729,1
1,3,8,27,194.142,0.90019,0.714286
1,3,9,6,6,209.439,0.666667
1,3,10,15,12,1.309,0.6
1,3,11,21,16,103.084,233.333
,,,,,,
,,,,,,
1,4,3,12,10,150.796,133.333
1,5,1,9,8,176.715,1
,,,,,,
,,,,,,
,,,,,,
1,5,5,39,214.142,106.874,0.857143
1,5,6,12,10,150.796,133.333
1,6,1,10,10,125.664,0.4
,,,,,,
,,,,,,
,,,,,,
1,6,5,15,114.142,14.468,1
1,6,6,15,12,1.309,166.667
2,1,1,16,12,139.626,1
2,1,2,9,8,176.715,1
2,1,3,18,14,115.405,0.5
2,1,4,12,10,150.796,0.75
2,1,5,11,941.421,155.968,0.75
2,2,1,24,182.426,0.906245,0.714286
2,2,2,9,8,176.715,1
2,2,3,12,10,150.796,133.333
2,2,4,9,8,176.715,1
2,2,5,9,8,176.715,1
2,3,1,91,392.132,0.743681,0.857143
2,3,2,36,216.569,0.964543,0.75
2,3,3,22,156.569,112.778,0.833333
2,4,1,9,8,176.715,1
2,4,2,58,270.711,0.994551,0.888889
2,4,3,9,8,176.715,1
2,4,4,9,8,176.715,1
2,4,5,6,6,209.439,0.666667
2,5,1,45,222.426,114.301,1
2,5,2,12,10,150.796,0.75
2,5,3,18,134.142,125.705,0.8
2,5,4,9,8,176.715,1
2,5,5,9,8,176.715,1
2,5,6,26,168.284,115.371,1.2
2,5,7,43,222.426,109.221,1
2,6,1,12,10,150.796,133.333
2,6,2,12,10,150.796,0.75
2,6,3,44,224.853,109.362,114.286
2,6,4,6,6,209.439,0.666667
2,6,5,31,188.284,109.886,0.714286
2,6,6,15,12,1.309,0.6
2,6,7,18,134.142,125.705,0.8
,,,,,,
,,,,,,
,,,,,,
3,1,4,15,12,1.309,0.6
3,1,5,9,8,176.715,1
3,1,6,9,8,176.715,1
3,1,7,22,162.426,10.479,0.833333
3,1,8,21,188.284,0.744391,1
3,1,9,32,188.284,113.431,0.714286
3,1,10,6,6,209.439,1.5
3,2,1,9,8,176.715,1
3,2,2,17,148.284,0.971558,1
,,,,,,
3,2,4,53,276.569,0.870723,142.857
3,2,5,9,8,176.715,1
3,2,6,28,182.426,105.729,0.714286
3,3,1,104,420.416,0.739408,115.385
3,3,2,17,128.284,129.811,0.8
,,,,,,
3,3,4,9,8,176.715,1
3,3,5,9,8,176.715,1
3,3,6,44,228.284,106.099,1
3,4,1,9,8,176.715,1
3,4,2,59,253.137,115.705,1.125
,,,,,,
3,4,4,9,8,176.715,1
3,4,5,12,10,150.796,0.75
3,4,6,9,8,176.715,1
3,4,7,35,210.711,0.990615,1
3,4,8,9,8,176.715,1
3,4,9,11,941.421,155.968,133.333
3,5,1,21,154.142,111.067,1.5
3,5,2,61,270.711,104.599,0.888889
3,5,3,9,8,176.715,1
,,,,,,
3,5,5,27,222.426,0.685805,0.75
3,5,6,26,168.284,115.371,0.571429
3,5,7,12,10,150.796,133.333
3,6,1,18,134.142,125.705,1.25
3,6,2,12,10,150.796,133.333
3,6,3,9,8,176.715,1
3,6,4,64,307.279,0.851772,1
,,,,,,
3,6,6,21,154.142,111.067,0.666667
3,6,7,27,174.142,111.883,0.571429
3,6,8,34,194.142,113.357,1
3,6,9,14,108.284,15.004,1
3,6,10,9,8,176.715,1
4,1,1,91,490.711,0.474898,154.545
4,1,2,11,941.421,155.968,133.333
4,1,3,60,284.853,0.929223,1
4,1,4,20,154.142,105.778,233.333
4,1,5,35,194.142,116.691,1
4,1,6,78,330.711,0.896206,0.666667
4,1,7,15,114.142,14.468,1
4,1,8,67,313.137,0.858649,1
4,1,9,45,288.284,0.680425,0.545455
4,1,10,12,10,150.796,133.333
4,1,11,105,406.274,0.799394,107.692
4,1,12,26,208.284,0.753131,116.667
4,1,13,9,8,176.715,1
4,1,14,165,653.553,0.485436,1
4,1,15,9,8,176.715,1
4,1,16,15,12,1.309,0.6
4,1,17,15,12,1.309,166.667
4,1,18,32,182.426,120.833,1
4,1,19,12,10,150.796,133.333
4,1,20,52,236.569,116.761,0.875
4,1,21,117,440.416,0.758,0.933333
4,1,22,24,202.426,0.736015,116.667
4,1,23,38,202.426,116.536,0.857143
4,1,24,9,8,176.715,1
4,1,25,12,10,150.796,133.333
4,1,26,9,8,176.715,1
4,1,27,9,8,176.715,1
4,1,28,28,188.284,0.992521,2
4,1,29,24,174.142,0.99452,0.571429
4,1,30,9,8,176.715,1
4,1,31,9,8,176.715,1
4,1,32,9,8,176.715,1
4,1,33,25,168.284,110.934,1.75
4,1,34,18,14,115.405,2
,,,,,,
,,,,,,
4,1,37,12,10,150.796,133.333
4,1,38,12,10,150.796,0.75
4,1,39,32,208.284,0.92693,116.667
4,1,40,26,162.426,123.843,1.2
4,1,41,12,10,150.796,133.333
4,1,42,34,208.284,0.984863,0.857143
4,1,43,99,41.799,0.712055,0.6875
4,1,44,15,12,1.309,0.6
4,1,45,12,10,150.796,0.75
4,1,46,33,196.569,107.324,0.625
4,1,47,15,12,1.309,0.6
4,1,48,39,242.426,0.833901,0.875
4,1,49,9,8,176.715,1
4,1,50,43,222.426,109.221,133.333
4,1,51,15,12,1.309,0.6
4,1,52,18,14,115.405,2
4,1,53,79,347.279,0.823151,1
4,1,54,28,168.284,124.246,0.833333
4,1,55,9,8,176.715,1
4,1,56,48,322.426,0.580216,111.111
4,1,57,9,8,176.715,1
4,1,58,63,284.853,0.975684,0.8
4,1,59,15,12,1.309,166.667
4,1,60,9,8,176.715,1
4,1,61,59,342.426,0.632306,0.666667
4,1,62,151,585.269,0.553956,123.529
4,1,63,36,20,113.097,1
4,1,64,40,236.569,0.898164,1.5
4,1,65,29,174.142,120.171,0.833333
4,1,66,15,12,1.309,0.6
4,1,67,22,148.284,125.731,1.5
4,1,68,32,202.426,0.981354,0.857143
4,1,69,32,202.426,0.981354,116.667
4,1,70,37,228.284,0.892195,1
4,1,71,12,10,150.796,133.333
4,1,72,39,216.569,104.492,133.333
4,1,73,29,188.284,102.797,1
4,1,74,60,329.706,0.693599,0.833333
4,1,75,8,8,15.708,0.5
4,1,76,75,330.711,0.861737,185.714
4,1,77,18,134.142,125.705,0.8
4,1,78,78,387.279,0.653516,0.714286
